VISIT_DATE,STATE_CODE,STATE_CODE_EXP,SHRP_ID,VISIT_NO,RUN_NUMBER,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,IRI_CENTER_LANE,MRI,CONSTRUCTION_NO
02/09/1998,12,Florida,4103,12410304,1,0.768999993801117,0.880999982357025,,0.824999988079071,1
03/27/1997,12,Florida,3995,12399505,2,0.967000007629394,1.29799997806549,,1.13199996948242,1
10/08/1997,35,New Mexico,1112,35111212,4,0.741999983787537,0.999000012874603,,0.870999991893768,1
06/23/1992,12,Florida,4107,12410702,3,1.14800000190735,1.22300004959106,,1.18599998950958,1
10/22/2002,12,Florida,4097,12409705,2,0.726000010967255,0.856000006198883,,0.791000008583069,1
06/17/1999,1,Alabama,1021,01102105,5,1.04499995708466,1.29999995231628,,1.17299997806549,1
11/03/1991,56,Wyoming,2018,56201803,2,0.998000025749206,1.02199995517731,,1.00999999046326,1
06/25/1995,53,Washington,1501,53150108,5,1.33399999141693,1.23500001430511,,1.28400003910065,1
08/15/1994,53,Washington,1501,53150107,1,1.21200001239777,1.10899996757507,,1.16100001335144,1
06/25/1995,53,Washington,1501,53150108,1,1.34399998188019,1.18599998950958,,1.26499998569489,1
09/03/1996,53,Washington,1501,53150109,5,1.38499999046326,1.29299998283386,,1.33899998664856,1
12/02/1990,53,Washington,1501,53150103,2,1.03999996185303,0.959999978542328,,1,1
05/20/1992,53,Washington,1501,53150105,3,1.16199994087219,1.09500002861023,,1.12899994850159,1
08/15/1994,53,Washington,1501,53150107,2,1.21899998188019,1.06099998950958,,1.13999998569489,1
09/08/1989,16,Idaho,1021,16102101,3,1.30599999427795,1.23399996757507,,1.26999998092651,1
10/09/1997,30,Montana,1001,30100110,3,1.09899997711182,1.08700001239777,,1.09300005435944,1
10/19/1990,30,Montana,1001,30100103,5,1.03100001811981,1.0110000371933,,1.02100002765656,1
07/20/1990,16,Idaho,1021,16102102,3,1.25100004673004,1.24300003051758,,1.24699997901917,1
09/20/1991,16,Idaho,1021,16102104,2,1.26800000667572,1.27799999713898,,1.27300000190735,1
10/06/1993,56,Wyoming,2018,56201805,5,1.03400003910065,1.06400001049042,,1.04900002479553,1
11/03/1991,56,Wyoming,2018,56201803,5,1.0110000371933,1.00300002098084,,1.00699996948242,1
08/15/1994,53,Washington,1501,53150107,3,1.19099998474121,1.05200004577637,,1.12100005149841,1
03/29/1995,6,California,8201,06820105,7,1.37800002098084,1.37399995326996,,1.37600004673004,1
08/15/1994,53,Washington,1501,53150107,6,1.18299996852875,1.06500005722046,,1.12399995326996,1
12/02/1990,53,Washington,1501,53150103,3,1.01499998569489,0.958000004291534,,0.986000001430512,1
03/12/2011,28,Mississippi,3083,28308310,5,1.93099999427795,2.09100008010864,,2.01099991798401,1
03/12/2011,28,Mississippi,3083,28308310,6,2.01600003242493,1.98699998855591,,2.00099992752075,1
05/07/2011,45,South Carolina,1024,45102412,4,1.53299999237061,1.48500001430511,,1.50899994373322,1
10/06/1993,56,Wyoming,2018,56201805,4,1.02400004863739,1.06599998474121,,1.04499995708466,1
10/24/1990,56,Wyoming,2018,56201802,3,0.897000014781952,0.921999990940094,,0.910000026226044,1
11/10/1991,30,Montana,1001,30100104,3,1.02699995040894,1.00499999523163,,1.01600003242493,1
09/20/1991,16,Idaho,1021,16102104,4,1.24199998378754,1.25899994373322,,1.25,1
09/08/1989,16,Idaho,1021,16102101,5,1.35000002384186,1.22599995136261,,1.28799998760223,1
10/19/1990,30,Montana,1001,30100103,3,0.99099999666214,1.03600001335144,,1.01300001144409,1
08/03/2005,15,Hawaii,1006,15100608,1,2.49000000953674,2.35999989509583,,2.42499995231628,1
08/08/2005,15,Hawaii,1008,15100808,1,2.90599989891052,2.32200002670288,,2.61400008201599,1
06/20/1999,16,Idaho,1021,16102111,4,1.23399996757507,1.23099994659424,,1.23199999332428,1
10/09/1997,30,Montana,1001,30100110,5,1.09899997711182,1.12300002574921,,1.11099994182587,1
10/09/1997,30,Montana,1001,30100110,2,1.12999999523163,1.03900003433228,,1.08500003814697,1
